record_index	shape_value	delta_value	shape	shape_2bit_bytes	phrase_plain
82	3262682	538	[1 4 3 4 4 3 3 2]	3be9	as sanck perro galleta huesitos perro bolsa kg
83	3264512	1830	[1 4 3 5]	overflow_word_gt4	te matcha polvo hacendado
84	3266196	1684	[1 4 3 5 3 2 2 4]	overflow_word_gt4	as alimento gatos control bolas pelo rico salmon
85	3266202	6	[1 4 3 5 3 2 3 2]	overflow_word_gt4	as snack gatos control bolas pelo bolsa neg
86	3290304	24102	[1 4 4 3 2 3]	3e60	ob tampon digital super caja tuds
87	3291648	1344	[1 4 4 3 5]	overflow_word_gt4	l clips gigante colore carrefour
88	3293794	2146	[1 4 4 4 1 1 4 2]	3f0d	up cerveza reserva especial p 6 botella vc
89	3294912	1118	[1 4 4 4 3 3]	3fa0	as barrita verdura roedores bolsa 2uds
90	3317760	22848	[1 4 5 2]	overflow_word_gt4	3 recarga borrable azul
91	3324096	6336	[1 4 5 3 4 3]	overflow_word_gt4	ve alcohol limpieza hogar bosqe verde
92	3324096	0	[1 4 5 3 4 3]	overflow_word_gt4	ve alcohol limpieza hogar bosqe verde
93	3330048	5952	[1 4 5 5]	overflow_word_gt4	ac clips niqelados carrefour
94	3330048	0	[1 4 5 5]	overflow_word_gt4	ac clips niqelados carrefour
95	3330048	0	[1 4 5 5]	overflow_word_gt4	ac clips niqelados carrefour
96	3330048	0	[1 4 5 5]	overflow_word_gt4	ac clips niqelados carrefour
97	3331200	1152	[1 4 5 5 2 2]	overflow_word_gt4	te matcha ecologico carrefour bio esg
98	3491560	160360	[1 5 2 4 3 3 5]	overflow_word_gt4	2 estropajo inox glitzi power vileda metalizado
99	3491625	65	[1 5 2 4 3 4 5 1]	overflow_word_gt4	2 recambio mini rodillo acceso dificile 15711 c
100	3517376	25751	[1 5 3 2 5 7]	overflow_word_gt4	p cartucho tinta hp n62n9 negrotricolo
101	3519232	1856	[1 5 3 3 1 4]	overflow_word_gt4	2 boligrafo 4col shine 1 tippe7
102	3520656	1424	[1 5 3 3 4 2 2]	overflow_word_gt4	el cencerro qeso tierno light cuna lig
103	3537040	16384	[1 5 3 7 4 2 2]	overflow_word_gt4	el argentino salsa chimichurri clasico bote urml
104	3557194	20154	[1 5 4 4 3 5 1 2]	overflow_word_gt4	lu principe galleta rellena crema chocolate p 37
105	3557632	438	[1 5 4 4 4 4]	overflow_word_gt4	8 rotuladore pen68 edicion pastel stabilo
106	3557968	336	[1 5 4 4 5 1 2]	overflow_word_gt4	lu principe galleta rellena chocolate p lig
107	3560448	2480	[1 5 4 5 2]	overflow_word_gt4	te classic bolsita carrefour boud
108	3566208	5760	[1 5 4 6 5 2]	overflow_word_gt4	2 estropajo esponja frotaspon sponte7 azul
109	3590872	24664	[1 5 5 4 5 3 3]	overflow_word_gt4	2 estropajo salvaudas extreme scotch brite morado
110	3593216	2344	[1 5 5 5 2]	overflow_word_gt4	2 estropajo salvaudas carrefour azul
111	3593728	512	[1 5 5 5 3]	overflow_word_gt4	3 estropajo salvaudas carrefour verde
112	3623552	29824	[1 5 6 4 5 2]	overflow_word_gt4	te english breakfast bolsita twining dud
113	3623552	0	[1 5 6 4 5 2]	overflow_word_gt4	te english breakfast bolsita twining dud
114	3623552	0	[1 5 6 4 5 2]	overflow_word_gt4	te english breakfast bolsita twining dud
115	3646616	23064	[1 5 7 2 2 2 3]	overflow_word_gt4	2 vertedor fackelmann bar wine gc negro
116	3750016	103400	[1 6 2 3 4 2]	overflow_word_gt4	fa desodorante fiji dream spra3 xaml
117	3750016	0	[1 6 2 3 4 2]	overflow_word_gt4	fa desodorante fiji dream spra3 xaml
118	3756032	6016	[1 6 2 5]	overflow_word_gt4	d chincheta memo carrefour
119	3788800	32768	[1 6 3 5]	overflow_word_gt4	ac chincheta colore carrefour
120	4014080	225280	[1 7 2 4]	overflow_word_gt4	8 fluorescente bic surtido
121	4506323	492243	[2 1 1 4 1 3 2 3]	4326	lote he 2 botella do ribera del duero
122	4506394	71	[2 1 1 4 1 4 3 2]	4339	lote id 1 botella do alicante marina alta
123	4527892	21498	[2 1 2 1 3 4 2 4]	44b7	dia te rojo ud toqe ciruela anis estuche
124	4528284	392	[2 1 2 1 4 2 3 4]	44db	lote al caja 2 botella vino tinto crianza
125	4534272	5988	[2 1 2 3]	46	lima ud xag apro7
126	4536466	2194	[2 1 2 3 4 2 2 2]	46d5	vino do rias baixas blanco vina nora vic
127	4536528	62	[2 1 2 3 4 3 2]	46e4	vino do rias baixas blanco leiras vic
128	4536597	69	[2 1 2 3 4 4 2 5]	overflow_word_gt4	vino do rias baixas blanco albarino pazo villarei
129	4536602	5	[2 1 2 3 4 4 3 2]	46f9	vino do rias baixas blanco albarino lusco vic
130	4536610	8	[2 1 2 3 4 4 4 2]	46fd	vino do rias baixas blanco albarino freixas vic
131	4536612	2	[2 1 2 3 4 4 4 4]	46ff	vino do rias baixas blanco albarino semiseco marieta
132	4564112	27500	[2 1 3 2 2 2 2]	4954	vino do jere6 fino tio pepe avc
133	4564691	579	[2 1 3 2 3 3 2 3]	49a6	vino do ribera del duero tinto fino finca
134	4564699	8	[2 1 3 2 3 3 3 3]	49aa	vino do ribera del duero tinto tres reinos
135	4564700	1	[2 1 3 2 3 3 3 4]	49ab	vino do ribera del duero tinto altos tamaron
136	4564701	1	[2 1 3 2 3 3 3 5]	overflow_word_gt4	vino do ribera del duero tinto roble ecologico
137	4564706	5	[2 1 3 2 3 3 4 2]	49ad	vino do ribera del duero tinto enriqe vic
138	4564707	1	[2 1 3 2 3 3 4 3]	49ae	vino do ribera del duero tinto crianza tres
139	4564707	0	[2 1 3 2 3 3 4 3]	49ae	vino do ribera del duero tinto crianza dehesa
140	4564707	0	[2 1 3 2 3 3 4 3]	49ae	vino do ribera del duero tinto reserva altos
141	4564707	0	[2 1 3 2 3 3 4 3]	49ae	vino do ribera del duero tinto reserva altos
142	4564707	0	[2 1 3 2 3 3 4 3]	49ae	vino do ribera del duero tinto crianza mayor
143	4564707	0	[2 1 3 2 3 3 4 3]	49ae	vino do ribera del duero tinto crianza dehesa
144	4564708	1	[2 1 3 2 3 3 4 4]	49af	vino do ribera del duero tinto reserva abadia
145	4564708	0	[2 1 3 2 3 3 4 4]	49af	vino do ribera del duero tinto martin berdugo
146	4564708	0	[2 1 3 2 3 3 4 4]	49af	vino do ribera del duero tinto crianza moralino
147	4564708	0	[2 1 3 2 3 3 4 4]	49af	vino do ribera del duero tinto crianza moralino
148	4564709	1	[2 1 3 2 3 3 4 5]	overflow_word_gt4	vino do ribera del duero tinto crianza ecologico
149	4564716	7	[2 1 3 2 3 3 5 4]	overflow_word_gt4	vino do ribera del duero tinto coleccion barrica
150	4567744	3028	[2 1 3 3 1 3]	4a20	menu 4 sushi dail3 p piezas
151	4567760	16	[2 1 3 3 1 3 2]	4a24	vino do rioja tinto 3 reinos vic
152	4568218	458	[2 1 3 3 2 2 3 2]	4a59	vino do jere6 tinto seco rio viejo vic
153	4568400	182	[2 1 3 3 2 5 2]	overflow_word_gt4	vino do cigale rosado vina calderona vic
154	4568704	304	[2 1 3 3 3 2]	4a90	vino do rioja tinto antano vic
155	4568802	98	[2 1 3 3 3 3 4 2]	4aad	vino do ribera duero tinto roble enriqe vic
156	4568803	1	[2 1 3 3 3 3 4 3]	4aae	vino do bierzo tinto cepas viejas dominio tares
157	4568803	0	[2 1 3 3 3 3 4 3]	4aae	vino do bierzo tinto cepas viejas dominio tares
158	4568844	41	[2 1 3 3 3 4 1 4]	4ab3	dia te negro earl gre3 estuche d bolsita
159	4569050	206	[2 1 3 3 3 7 3 2]	overflow_word_gt4	vino do ucles tinto joven tempranillo laman vic
160	4569178	128	[2 1 3 3 4 1 3 2]	4ac9	vino do rioja tinto crianza 3 reinos vic
161	4569178	0	[2 1 3 3 4 1 3 2]	4ac9	vino do rioja tinto crianza 3 reinos vic
162	4569178	0	[2 1 3 3 4 1 3 2]	4ac9	vino do rioja tinto crianza 3 reinos vic
163	4569216	38	[2 1 3 3 4 2]	4ad0	vino do rioja rosado diamante vic
164	4569232	16	[2 1 3 3 4 2 2]	4ad4	vino do rioja tinto faustino vii vic
165	4569232	0	[2 1 3 3 4 2 2]	4ad4	vino do rioja tinto crianza lan vic
166	4569242	10	[2 1 3 3 4 2 3 2]	4ad9	vino do rioja tinto reserva luis canas vic
167	4569250	8	[2 1 3 3 4 2 4 2]	4add	vino do rioja tinto reserva vina espolon vic
168	4569250	0	[2 1 3 3 4 2 4 2]	4add	vino do rioja tinto reserva vina espolon vic
169	4569250	0	[2 1 3 3 4 2 4 2]	4add	vino do rioja tinto crianza vina alberdi vic
170	4569258	8	[2 1 3 3 4 2 5 2]	overflow_word_gt4	vino do rioja tinto reserva vina tondonia vic
171	4569300	42	[2 1 3 3 4 3 2 4]	4ae7	vino do rioja tinto reserva monte haro federico
172	4569301	1	[2 1 3 3 4 3 2 5]	overflow_word_gt4	vino do rioja tinto hacienda lope6 haro coleccion
173	4569314	13	[2 1 3 3 4 3 4 2]	4aed	vino do rioja tinto crianza gran vendema vic
174	4569314	0	[2 1 3 3 4 3 4 2]	4aed	vino do rioja tinto reserva gran vendema vic
175	4569314	0	[2 1 3 3 4 3 4 2]	4aed	vino do rioja tinto crianza gran vendema vic
176	4569314	0	[2 1 3 3 4 3 4 2]	4aed	vino do rioja tinto crianza gran vendema vic
177	4569314	0	[2 1 3 3 4 3 4 2]	4aed	vino do rioja tinto crianza bodega alavesas vic
178	4569314	0	[2 1 3 3 4 3 4 2]	4aed	vino do rioja tinto crianza gran vendema vic
179	4569360	46	[2 1 3 3 4 4 2]	4af4	vino do rioja rosado marqes riscal vic
180	4569360	0	[2 1 3 3 4 4 2]	4af4	vino do rioja tinto crianza bordon vic
181	4569370	10	[2 1 3 3 4 4 3 2]	4af9	vino do rioja tinto reserva marqes varga vic
182	4569370	0	[2 1 3 3 4 4 3 2]	4af9	vino do rioja tinto reserva faustino rivero vic
183	4569379	9	[2 1 3 3 4 4 4 3]	4afe	vino do rioja tinto crianza edicion limitada ramon
184	4569420	41	[2 1 3 3 4 5 1 4]	overflow_word_gt4	vino do rioja tinto reserva lagunilla 4 botella
185	4569424	4	[2 1 3 3 4 5 2]	overflow_word_gt4	vino do rioja tinto crianza bardesano vic
186	4569424	0	[2 1 3 3 4 5 2]	overflow_word_gt4	vino do rioja tinto crianza bardesano vic
187	4569424	0	[2 1 3 3 4 5 2]	overflow_word_gt4	vino do rioja tinto crianza bardesano vic
188	4569424	0	[2 1 3 3 4 5 2]	overflow_word_gt4	vino do rioja tinto crianza bardesano vic
189	4569424	0	[2 1 3 3 4 5 2]	overflow_word_gt4	vino do rioja tinto crianza carrizal vic
190	4569424	0	[2 1 3 3 4 5 2]	overflow_word_gt4	vino do rioja tinto crianza carrizal vic
191	4569433	9	[2 1 3 3 4 5 3 1]	overflow_word_gt4	vino do rioja tinto crianza seleccion vinedo el
192	4569754	321	[2 1 3 3 5 2 3 2]	overflow_word_gt4	vino do rioja tinto ecologico vina pomal vic
193	4569754	0	[2 1 3 3 5 2 3 2]	overflow_word_gt4	vino do rioja tinto ecologico vina pomal vic
194	4569853	99	[2 1 3 3 5 3 7 5]	overflow_word_gt4	set 5 molde bajos aluminio albal 32726cm metalizado
195	4569872	19	[2 1 3 3 5 4 2]	overflow_word_gt4	vino do rioja tinto ecologico beronia vic
196	4569875	3	[2 1 3 3 5 4 2 3]	overflow_word_gt4	vino do rioja viura malvasia blanco luis canas
197	4572828	2953	[2 1 3 4 3 2 3 4]	4b9b	zumo g fruta vitamina juver sin azucar anadido
198	4572928	100	[2 1 3 4 3 4]	4bb0	set 3 piezas barrer vigar surtido
199	4572954	26	[2 1 3 4 3 4 3 2]	4bb9	vino do ucles blanco joven verdejo laman vic
200	4573019	65	[2 1 3 4 3 5 3 3]	overflow_word_gt4	vino do utiel reqena tinto ecologico pasion bobal
201	4573312	293	[2 1 3 4 4 2]	4bd0	vino do penede blanco pinord vic
202	4573330	18	[2 1 3 4 4 2 2 2]	4bd5	vino do rueda blanco verdejo dama del lago
203	4573330	0	[2 1 3 4 4 2 2 2]	4bd5	vino do rueda blanco verdejo dama del lago
204	4573330	0	[2 1 3 4 4 2 2 2]	4bd5	vino do rueda blanco verdejo dama del lago
205	4573338	8	[2 1 3 4 4 2 3 2]	4bd9	vino do rueda blanco verdejo four lines vic
206	4573346	8	[2 1 3 4 4 2 4 2]	4bdd	vino do rueda blanco verdejo vina espolon vic
207	4573392	46	[2 1 3 4 4 3 2]	4be4	vino do rueda blanco verdejo ederra vic
208	4573456	64	[2 1 3 4 4 4 2]	4bf4	vino do rueda blanco verdejo estilete vic
209	4573466	10	[2 1 3 4 4 4 3 2]	4bf9	vino do rueda blanco moralino verdejo pagos del
210	4573466	0	[2 1 3 4 4 4 3 2]	4bf9	vino do rueda blanco verdejo palacio borno vic
211	4573466	0	[2 1 3 4 4 4 3 2]	4bf9	vino do rueda blanco verdejo palacio borno vic
212	4573466	0	[2 1 3 4 4 4 3 2]	4bf9	vino do rueda blanco verdejo palacio borno vic
213	4573520	54	[2 1 3 4 4 5 2]	overflow_word_gt4	vino do rueda blanco verdejo apoteosis vic
214	4573520	0	[2 1 3 4 4 5 2]	overflow_word_gt4	vino do rueda blanco verdejo apoteosis vic
215	4573520	0	[2 1 3 4 4 5 2]	overflow_word_gt4	vino do rueda blanco verdejo apoteosis vic
216	4573824	304	[2 1 3 4 5 2]	overflow_word_gt4	set 4 utiles n3lon carrefour home
217	4573824	0	[2 1 3 4 5 2]	overflow_word_gt4	set 4 utiles n3lon carrefour home
218	4573858	34	[2 1 3 4 5 2 4 2]	overflow_word_gt4	vino do rioja blanco semidulce leza garcia nube
219	4576492	2634	[2 1 3 5 2 3 5 4]	overflow_word_gt4	set te pinza plastico ropa tarre plastico 7715
220	4580352	3860	[2 1 3 6 2]	overflow_word_gt4	set i lapi6 corrector 8ml
221	4581728	1376	[2 1 3 6 4 5 4]	overflow_word_gt4	set 4 bayeta absorbente impresa carrefour decorado
222	4582144	416	[2 1 3 6 5 4]	overflow_word_gt4	set 4 bayeta microfibra sponte7 economic
223	4586767	4623	[2 1 3 7 6 4 1 7]	overflow_word_gt4	set 2 funda ahorraespacio compactor 5571 c transparen
224	4592299	5532	[2 1 4 1 1 2 5 3]	overflow_word_gt4	caja 4 botella 2 2 cune glorioso tinto
225	4593801	1502	[2 1 4 1 4 2 1 1]	4cd0	lote di estuche 3 botella vino do ca
226	4593805	4	[2 1 4 1 4 2 1 5]	overflow_word_gt4	lote be estuche 3 botella vino do valdepena
227	4593813	8	[2 1 4 1 4 2 2 5]	overflow_word_gt4	lote ic estuche 4 botella cava anna codorniu
228	4593819	6	[2 1 4 1 4 2 3 3]	4cda	lote po estuche 2 botella vino tinto matsu
229	4593820	1	[2 1 4 1 4 2 3 4]	4cdb	lote bi estuche 2 botella vino tinto crianza
230	4593834	14	[2 1 4 1 4 2 5 2]	overflow_word_gt4	lote fi estuche 2 botella cava ecologico juve
231	4593835	1	[2 1 4 1 4 2 5 3]	overflow_word_gt4	lote as estuche 2 botella cava el3ssia gran
232	4593835	0	[2 1 4 1 4 2 5 3]	overflow_word_gt4	lote it estuche 2 botella cava freixenet brut
233	4593836	1	[2 1 4 1 4 2 5 4]	overflow_word_gt4	lote hi estuche 2 botella cava freixenet cordon
234	4593844	8	[2 1 4 1 4 2 6 4]	overflow_word_gt4	lote os estuche 2 botella vino fri6zante blanco
235	4596498	2654	[2 1 4 2 1 4 2 2]	4d35	lol p colonia boml 2 esmalte udas lima
236	4600592	4094	[2 1 4 3 1 4 2]	4e34	vino do alicante tinto el miracle vic
237	4601104	512	[2 1 4 3 2 4 2]	4e74	vino do madrid tinto vega madrono vec
238	4601104	0	[2 1 4 3 2 4 2]	4e74	vino do cataluna tinto rene barbier vic
239	4601104	0	[2 1 4 3 2 4 2]	4e74	vino do cataluna tinto rene barbier vic
240	4601600	496	[2 1 4 3 3 4]	4eb0	set bo tenedore madera nupik naturgo
241	4601616	16	[2 1 4 3 3 4 2]	4eb4	vino do madrid tinto san6 capital vic
242	4602064	448	[2 1 4 3 4 3 2]	4ee4	vino do mancha tinto reserva estola vic
243	4602128	64	[2 1 4 3 4 4 2]	4ef4	vino do navarra rosado senorio sarria vic
244	4602196	68	[2 1 4 3 4 5 2 4]	overflow_word_gt4	vino do jumilla tinto crianza castillo del picacho
245	4602576	380	[2 1 4 3 5 3 2]	overflow_word_gt4	vino do priorat tinto garnatxa fosca vic
246	4602589	13	[2 1 4 3 5 3 3 5]	overflow_word_gt4	set 2 botella acero inoxidable doble pared carrefour
247	4602715	126	[2 1 4 3 5 5 3 3]	overflow_word_gt4	set 3 cuchara acero inoxidable bergner limoge 3p6
248	4603546	831	[2 1 4 3 7 2 3 2]	overflow_word_gt4	vino do mancha tinto tempranillo vina lobon vic
249	4603546	0	[2 1 4 3 7 2 3 2]	overflow_word_gt4	vino do mancha tinto tempranillo vina lobon vic
250	4603546	0	[2 1 4 3 7 2 3 2]	overflow_word_gt4	vino do mancha tinto tempranillo vina lobon vic
251	4603546	0	[2 1 4 3 7 2 3 2]	overflow_word_gt4	vino do mancha tinto tempranillo vina lobon vic
252	4603546	0	[2 1 4 3 7 2 3 2]	overflow_word_gt4	vino do mancha tinto tempranillo vina lobon vic
253	4603732	186	[2 1 4 3 7 5 2 4]	overflow_word_gt4	set 3 filtro agua microparticu carrefour home blanco
254	4603732	0	[2 1 4 3 7 5 2 4]	overflow_word_gt4	set 3 filtro agua microparticu carrefour home blanco
255	4604928	1196	[2 1 4 4 2]	4f40	pan 5 semilla panrico ayg
256	4607168	2240	[2 1 4 4 6 3]	overflow_word_gt4	set e tenedore plasico reutilizable nupik
257	4609024	1856	[2 1 4 5 2]	overflow_word_gt4	mi7 3 verdura carrefour ecg
258	4610176	1152	[2 1 4 5 4 2]	overflow_word_gt4	set 4 sartene taberseo eclipse ruc
259	4610972	796	[2 1 4 5 5 6 3 4]	overflow_word_gt4	set 8 percha infantile plastico protenrop colore surtido
260	4633808	22836	[2 1 5 3 2 3 2]	overflow_word_gt4	vino do valdepena tinto los molino vic
261	4634256	448	[2 1 5 3 3 2 2]	overflow_word_gt4	vino do somontano tinto joven laus vic
262	4634368	112	[2 1 5 3 3 4]	overflow_word_gt4	set bo cuchillo madera nupik naturgo
263	4634403	35	[2 1 5 3 3 4 4 3]	overflow_word_gt4	dia el cencerro qeso tierno light loncha envase
264	4634403	0	[2 1 5 3 3 4 4 3]	overflow_word_gt4	dia el cencerro qeso tierno light loncha envase
265	4634768	365	[2 1 5 3 4 2 2]	overflow_word_gt4	vino do somontano tinto reserva laus vic
266	4634778	10	[2 1 5 3 4 2 3 2]	overflow_word_gt4	vino do valdepena tinto crianza vina albali vic
267	4634778	0	[2 1 5 3 4 2 3 2]	overflow_word_gt4	vino do valdepena tinto crianza vina albali vic
268	4634778	0	[2 1 5 3 4 2 3 2]	overflow_word_gt4	vino do valdepena tinto reserva vina albali vic
269	4634778	0	[2 1 5 3 4 2 3 2]	overflow_word_gt4	vino do valdepena tinto reserva vina albali vic
270	4634778	0	[2 1 5 3 4 2 3 2]	overflow_word_gt4	vino do valdepena tinto crianza vina albali vic
271	4634778	0	[2 1 5 3 4 2 3 2]	overflow_word_gt4	vino do valdepena tinto crianza vina albali vic
